obs,personid,psu,hhld,id,sex,age,marital,ctzship,current_school,grade_comp,subject_training,need_train_more,mwrk_nsco1,mwrk_nsco4,mwrk_status,mwrk_cnrt_type,mwrk_nsic1,mwrk_nsic4,mwrk_orgtype,mwrk_enttype,mwrk_empnum,mwrk_tenure_envlv,usulhr_mwrk,prd_remu,amt_cashrs,rcvd_kind,faci_mktval,faci_paidval,hhsize,province,urbrur753,season,male,nevermarried,urban,educ,educ1,wage_daily,logwage_daily,avg_exp,avg_exp1,sq_avg_exp
11,17220301,1722,3,1,Female,41,Single woman/man,Nepalese,,Nursery/LKG/UKG,,Yes,J,Domestic cleaners and helpers,Employee,Temporary,,,,,,5 years - 10 years,53,Monthly,2000,No,1000,,2,6,Urban,Winter Season,0,0,1,0,0.5,65.753426,4.1859117,5,5.5,30.25
12,12170702,1217,7,2,Female,42,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Kitchen helpers,Employee,Temporary,,,,,,1 year - 3 years,14,Monthly,2000,No,,,4,2,Urban,Winter Season,0,0,1,0,0.5,65.753426,4.1859117,1,1.5,2.25
13,16081501,1608,15,1,Male,71,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Water and firewood collectors,Employee,Temporary,E," Water collection, treatment and supply",Other,Don?t know,1 person,10 years or more,18,Monthly,2000,No,,,5,5,Urban,Dry Season,1,0,1,0,0.5,65.753426,4.1859117,10,10.5,110.25
14,12260903,1226,9,3,Male,14,Never married,Nepalese,No,Class 5,,Yes,H,Carpenters and joiners,Employee,Temporary,C,Manufacture of furniture,,Private business,1 person,6 months - 1 year,46,Monthly,2000,No,,,5,2,Urban,Winter Season,1,1,1,5,5.5,65.753426,4.1859117,0.5,1,1
15,17810606,1781,6,6,Female,48,Single woman/man,Nepalese,,Nursery/LKG/UKG,Teacher training n.e.c.,Yes,F,Service station attendants,Employee,Temporary,Q,Other human health activities,Non-profit institution,An incorporated company,,10 years or more,21,Monthly,2400,No,1200,,6,7,Urban,Rainy Season,0,0,1,0,0.5,78.904106,4.3682332,10,10.5,110.25
16,16640501,1664,5,1,Female,24,Married,Nepalese,No,SLC and equiv.,,Yes,C,Primary school teachers,Employee,Temporary,P,Pre-primary and primary education,Other,An incorporated company,,Less than 6 months,40,Monthly,2500,No,,,3,6,Urban,Rainy Season,0,0,1,11,11.5,82.19178,4.4090552,0,0.5,0.25
17,12971301,1297,13,1,Male,44,Married,Nepalese,,Class 2,Driving skills and motor vehicle operation,No,I," Car, taxi and van drivers",Employee,Temporary,H,Other passenger land transpor t,,Private business,1 person,10 years or more,64,Monthly,2500,No,15000,,4,3,Urban,Winter Season,1,0,1,2,2.5,82.19178,4.4090552,10,10.5,110.25
18,12230304,1223,3,4,Female,22,Married,Nepalese,No,SLC and equiv.,,Yes,C,Primary school teachers,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,1 year - 3 years,40,Monthly,2500,No,,,4,2,Urban,Dry Season,0,0,1,11,11.5,82.19178,4.4090552,1,1.5,2.25
19,17831301,1783,13,1,Male,43,Married,Nepalese,,Nursery/LKG/UKG,,Yes,J,Water and firewood collectors,Employee,Temporary,E," Water collection, treatment and supply",,Don?t know,1 person,1 year - 3 years,56,Monthly,2800,No,,,5,7,Urban,Rainy Season,1,0,1,0,0.5,92.054794,4.5223842,1,1.5,2.25
20,12170704,1217,7,4,Female,21,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Domestic cleaners and helpers,Employee,Temporary,,,,,,3 years - 5 years,45,Monthly,3000,No,,,4,2,Urban,Winter Season,0,0,1,0,0.5,98.630135,4.5913768,3,3.5,12.25
21,16762006,1676,20,6,Male,14,Never married,Nepalese,No,Class 6,Furniture making and repair,Yes,H,Carpenters and joiners,Paid apprentice / intern,Temporary,C,Manufacture of builders’ carpentry and joinery,Non-profit institution,Private business,5-9 persons,Less than 6 months,56,Monthly,3000,No,,,11,5,Rural,Rainy Season,1,1,0,6,6.5,98.630135,4.5913768,0,0.5,0.25
22,13501802,1350,18,2,Female,32,Married,Nepalese,Yes,SLC and equiv.,Accountancy,Yes,D,Accounting associate professionals,Employee,Temporary,K,Other activities auxiliary to financial service activities,Private financial institution,An incorporated company,,5 years - 10 years,42,Monthly,3000,No,,,6,3,Urban,Rainy Season,0,0,1,11,11.5,98.630135,4.5913768,5,5.5,30.25
23,13011902,1301,19,2,Female,40,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Plant propagation,Private nonfinancial institution,Private business,2-4 persons,1 year - 3 years,45,Monthly,3000,No,15000,,4,3,Urban,Dry Season,0,0,1,0,0.5,98.630135,4.5913768,1,1.5,2.25
24,15921912,1592,19,12,Male,19,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Domestic cleaners and helpers,Employee,Temporary,H,Freight transport by road,,Private business,2-4 persons,6 months - 1 year,49,Monthly,3000,No,35000,,12,5,Rural,Dry Season,1,0,0,0,0.5,98.630135,4.5913768,0.5,1,1
25,17790401,1779,4,1,Female,25,Married,Nepalese,No,Class 10,,Yes,C,Early childhood educators,Employee,Temporary,P,Pre-primary and primary education,Other,An incorporated company,,Less than 6 months,36,Monthly,3000,No,,,2,7,Rural,Rainy Season,0,0,0,10,10.5,98.630135,4.5913768,0,0.5,0.25
26,17281201,1728,12,1,Female,32,Married,Nepalese,No,SLC and equiv.,Furniture making and repair,Yes,C,Special needs teachers,Employee,Temporary,P,Other education n.e.c.,,Private business,1 person,1 year - 3 years,12,Monthly,3000,No,,,4,6,Urban,Dry Season,0,0,1,11,11.5,98.630135,4.5913768,1,1.5,2.25
27,10230101,1023,1,1,Male,22,Never married,Nepalese,Yes,Class 12 and Intermediate,"Agriculture, animal husbandry",No,E,Accounting and bookkeeping clerks,Employee,Temporary,K,Other monetary intermediation,Private financial institution,Private business,2-4 persons,6 months - 1 year,12,Monthly,3000,No,,,1,1,Urban,Rainy Season,1,1,1,12,12.5,98.630135,4.5913768,0.5,1,1
28,15900804,1590,8,4,Male,13,Never married,Nepalese,No,Nursery/LKG/UKG,,,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,I,Restaurants and mobile food service activities,,Private business,2-4 persons,6 months - 1 year,70,Monthly,3000,No,36000,,7,5,Rural,Winter Season,1,1,0,0,0.5,98.630135,4.5913768,0.5,1,1
29,12360302,1236,3,2,Female,42,Married,Nepalese,,Nursery/LKG/UKG,,No,H,Bricklayers and related workers,Employee,Temporary,C,Manufacture of clay building materials,,Private business,2-4 persons,1 year - 3 years,36,Monthly,3000,No,,,3,2,Urban,Winter Season,0,0,1,0,0.5,98.630135,4.5913768,1,1.5,2.25
30,14952006,1495,20,6,Female,20,Never married,Nepalese,No,Class 5,,No,J,Kitchen helpers,Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,An incorporated company,,1 year - 3 years,40,Monthly,3000,No,20000,,6,4,Urban,Winter Season,0,1,1,5,5.5,98.630135,4.5913768,1,1.5,2.25
31,16350203,1635,2,3,Male,17,Never married,Nepalese,No,SLC and equiv.,,Yes,H,Motor vehicle mechanics and repairers,Employee,Temporary,G," Sale, maintenance and repair of motorcycles and related par",Private nonfinancial institution,Don?t know,2-4 persons,Less than 6 months,70,Monthly,3000,No,18000,,3,5,Urban,Rainy Season,1,1,1,11,11.5,98.630135,4.5913768,0,0.5,0.25
32,12181701,1218,17,1,Male,40,Married,Nepalese,No,Nursery/LKG/UKG,,No,E,Debt-collectors and related workers,Employee,Temporary,K,Other monetary intermediation,Private financial institution,An incorporated company,,1 year - 3 years,28,Monthly,3000,No,,,4,2,Urban,Rainy Season,1,0,1,0,0.5,98.630135,4.5913768,1,1.5,2.25
33,13062006,1306,20,6,Male,11,Never married,Nepalese,No,Class 5,,,J,Kitchen helpers,Employee,Temporary,I,Restaurants and mobile food service activities,Private nonfinancial institution,Private business,2-4 persons,Less than 6 months,70,Monthly,3000,No,25000,,6,3,Urban,Rainy Season,1,1,1,5,5.5,98.630135,4.5913768,0,0.5,0.25
34,14921802,1492,18,2,Female,44,Married,Nepalese,,Class 10,"Dressmaking, tailoring",Yes,H," Tailors, dressmakers, furriers and hatters",Employee,Temporary,C," Manufacture of wearing apparel, except fur apparel",,Private business,1 person,Less than 6 months,22,Monthly,3000,No,,,5,4,Urban,Rainy Season,0,0,1,10,10.5,98.630135,4.5913768,0,0.5,0.25
35,15591905,1559,19,5,Male,18,Never married,Nepalese,Yes,Class 5,,No,J,Kitchen helpers,Employee,Temporary,I,Short term accommodation activities,Private nonfinancial institution,Private business,2-4 persons,6 months - 1 year,60,Monthly,3000,No,6500,,6,5,Urban,Dry Season,1,1,1,5,5.5,98.630135,4.5913768,0.5,1,1
36,12360303,1236,3,3,Female,13,Never married,Nepalese,No,Nursery/LKG/UKG,,,H,Bricklayers and related workers,Employee,Temporary,C,Manufacture of clay building materials,,Private business,2-4 persons,1 year - 3 years,36,Monthly,3000,No,,,3,2,Urban,Winter Season,0,1,1,0,0.5,98.630135,4.5913768,1,1.5,2.25
37,14211101,1421,11,1,Male,43,Married,Nepalese,,Class 10,"Agriculture, animal husbandry",Yes,H,Plumbers and pipe fitters,Employee,Temporary,E," Water collection, treatment and supply",Other,An incorporated company,,5 years - 10 years,21,Monthly,3000,No,,,4,4,Urban,Winter Season,1,0,1,10,10.5,98.630135,4.5913768,5,5.5,30.25
38,13070604,1307,6,4,Female,20,Never married,Nepalese,Yes,Class 12 and Intermediate,,No,C,Primary school teachers,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,6 months - 1 year,48,Monthly,3000,No,,,4,3,Urban,Rainy Season,0,1,1,12,12.5,98.630135,4.5913768,0.5,1,1
39,18132005,1813,20,5,Male,22,Married,Nepalese,No,Class 12 and Intermediate,Mechanic trades (including mechanical repair),No,I,Mechanical machinery assemblers,Employee,Temporary,G," Sale, maintenance and repair of motorcycles and related par",Private nonfinancial institution,Private business,2-4 persons,Less than 6 months,46,Monthly,3000,No,,,27,7,Urban,Dry Season,1,0,1,12,12.5,98.630135,4.5913768,0,0.5,0.25
40,10611702,1061,17,2,Female,25,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Sweepers and related labourers,Employee,Temporary,O," Regulation of the activities of providing health care, educ",,Private business,1 person,5 years - 10 years,28,Monthly,3000,No,,,6,1,Urban,Winter Season,0,0,1,0,0.5,98.630135,4.5913768,5,5.5,30.25
41,16471602,1647,16,2,Female,26,Married,Nepalese,No,Class 9,,No,C,Teaching professionals not elsewhere classified,Employee,Temporary,P,Other education n.e.c.,,Don?t know,1 person,Less than 6 months,18,Monthly,3000,No,,,5,5,Urban,Rainy Season,0,0,1,9,9.5,98.630135,4.5913768,0,0.5,0.25
42,11072004,1107,20,4,Male,23,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Vehicle cleaners,Employee,Temporary,H,Freight transport by road,,Private business,2-4 persons,6 months - 1 year,63,Monthly,3000,No,,,7,1,Urban,Rainy Season,1,0,1,0,0.5,98.630135,4.5913768,0.5,1,1
43,10341303,1034,13,3,Male,16,Never married,Nepalese,No,Class 8,,Yes,H,Structural-metal preparers and erectors,Employee,Temporary,C,Manufacture of structural metal products,,Private business,2-4 persons,Less than 6 months,56,Monthly,3000,No,,,4,1,Rural,Dry Season,1,1,0,8,8.5,98.630135,4.5913768,0,0.5,0.25
44,10611502,1061,15,2,Female,36,Married,Nepalese,No,Class 3,,No,J,Sweepers and related labourers,Employee,Temporary,I,Short term accommodation activities,Private nonfinancial institution,Private business,2-4 persons,5 years - 10 years,58,Monthly,3000,No,,,5,1,Urban,Winter Season,0,0,1,3,3.5,98.630135,4.5913768,5,5.5,30.25
45,10611802,1061,18,2,Female,38,Married,Nepalese,No,Nursery/LKG/UKG,,No,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,T,Activities of households as employers of domestic personnel,,Private business,1 person,10 years or more,56,Monthly,3000,No,,,7,1,Urban,Winter Season,0,0,1,0,0.5,98.630135,4.5913768,10,10.5,110.25
46,15790101,1579,1,1,Female,48,Married,Nepalese,,Class 4,,No,J,Fast food preparers,Employee,Temporary,I,Restaurants and mobile food service activities,,Private business,2-4 persons,3 years - 5 years,21,Monthly,3000,No,,,1,5,Urban,Dry Season,0,0,1,4,4.5,98.630135,4.5913768,3,3.5,12.25
47,11171201,1117,12,1,Female,50,Single woman/man,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,5-9 persons,5 years - 10 years,42,Daily,100,No,3600,,4,1,Rural,Winter Season,0,0,0,0,0.5,100,4.6051702,5,5.5,30.25
48,11761407,1176,14,7,Male,18,Never married,Nepalese,No,Class 5,,Yes,H,Welders and flamecutters,Paid apprentice / intern,Temporary,C,Manufacture of structural metal products,,Private business,2-4 persons,6 months - 1 year,56,Daily,100,No,36000,,7,2,Urban,Dry Season,1,1,1,5,5.5,100,4.6051702,0.5,1,1
49,12320201,1232,2,1,Female,66,Single woman/man,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Growing of rice,,Private business,2-4 persons,10 years or more,42,Daily,100,No,,,3,2,Rural,Rainy Season,0,0,0,0,0.5,100,4.6051702,10,10.5,110.25
50,12320401,1232,4,1,Female,34,Single woman/man,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,2-4 persons,10 years or more,42,Daily,100,No,,,4,2,Rural,Rainy Season,0,0,0,0,0.5,100,4.6051702,10,10.5,110.25
51,12350402,1235,4,2,Female,39,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Growing of rice,,Private business,2-4 persons,5 years - 10 years,42,Daily,100,No,,,4,2,Urban,Rainy Season,0,0,1,0,0.5,100,4.6051702,5,5.5,30.25
52,12302012,1230,20,12,Female,16,Never married,Nepalese,No,Nursery/LKG/UKG,"Dressmaking, tailoring",Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,Less than 6 months,32,Daily,100,No,,,13,2,Urban,Rainy Season,0,1,1,0,0.5,100,4.6051702,0,0.5,0.25
53,12350501,1235,5,1,Male,38,Married,Nepalese,No,Class 4,,Yes,J,Crop farm labourers,Employee,Temporary,,,,,,10 years or more,42,Daily,100,No,,,4,2,Urban,Rainy Season,1,0,1,4,4.5,100,4.6051702,10,10.5,110.25
54,12311809,1231,18,9,Male,17,Never married,Nepalese,No,Class 5,,Yes,H,Wood treaters,Paid apprentice / intern,Temporary,C,Manufacture of furniture,,Don?t know,2-4 persons,6 months - 1 year,56,Daily,100,No,,,11,2,Rural,Rainy Season,1,1,0,5,5.5,100,4.6051702,0.5,1,1
55,10021901,1002,19,1,Female,65,Single woman/man,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A," Growing of cereals (except rice), leguminous crops and oil ",,Private business,2-4 persons,10 years or more,49,Daily,100,No,,,7,1,Rural,Dry Season,0,0,0,0,0.5,100,4.6051702,10,10.5,110.25
56,12321201,1232,12,1,Female,21,Married,Nepalese,No,Class 8,"Dressmaking, tailoring",Yes,H," Tailors, dressmakers, furriers and hatters",Employee,Temporary,C," Manufacture of wearing apparel, except fur apparel",,Private business,2-4 persons,1 year - 3 years,13,Daily,100,No,,,6,2,Rural,Rainy Season,0,0,0,8,8.5,100,4.6051702,1,1.5,2.25
57,12321702,1232,17,2,Female,40,Married,Nepalese,No,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,Less than 6 months,28,Daily,100,No,,,10,2,Rural,Rainy Season,0,0,0,0,0.5,100,4.6051702,0,0.5,0.25
58,12301701,1230,17,1,Male,45,Married,Nepalese,,Class 6,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,Less than 6 months,35,Daily,100,No,,,10,2,Urban,Rainy Season,1,0,1,6,6.5,100,4.6051702,0,0.5,0.25
59,12300702,1230,7,2,Female,35,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,Less than 6 months,28,Daily,100,No,,,5,2,Urban,Rainy Season,0,0,1,0,0.5,100,4.6051702,0,0.5,0.25
60,12191405,1219,14,5,Male,16,Never married,Nepalese,No,Class 5,"Dressmaking, tailoring",Yes,H," Tailors, dressmakers, furriers and hatters",Paid apprentice / intern,Temporary,C," Manufacture of wearing apparel, except fur apparel",,Private business,2-4 persons,6 months - 1 year,38,Daily,100,No,,,6,2,Urban,Winter Season,1,1,1,5,5.5,100,4.6051702,0.5,1,1
61,12321701,1232,17,1,Male,44,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,Less than 6 months,33,Daily,100,No,,,10,2,Rural,Rainy Season,1,0,0,0,0.5,100,4.6051702,0,0.5,0.25
62,12301702,1230,17,2,Female,38,Married,Nepalese,No,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,Less than 6 months,29,Daily,100,No,,,10,2,Urban,Rainy Season,0,0,1,0,0.5,100,4.6051702,0,0.5,0.25
63,12321205,1232,12,5,Female,17,Never married,Nepalese,No,Class 8,,Yes,H," Tailors, dressmakers, furriers and hatters",Employee,Temporary,C," Manufacture of wearing apparel, except fur apparel",,Private business,2-4 persons,6 months - 1 year,6,Daily,100,No,,,6,2,Rural,Rainy Season,0,1,0,8,8.5,100,4.6051702,0.5,1,1
64,12302003,1230,20,3,Female,40,Married,Nepalese,No,Nursery/LKG/UKG,"Dressmaking, tailoring",Yes,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,5-9 persons,Less than 6 months,22,Daily,100,No,,,13,2,Urban,Rainy Season,0,0,1,0,0.5,100,4.6051702,0,0.5,0.25
65,11761406,1176,14,6,Male,18,Never married,Nepalese,No,Class 3,,Yes,H,Welders and flamecutters,Paid apprentice / intern,Temporary,C,Manufacture of structural metal products,,Private business,2-4 persons,6 months - 1 year,56,Daily,100,No,36000,,7,2,Urban,Dry Season,1,1,1,3,3.5,100,4.6051702,0.5,1,1
66,11170101,1117,1,1,Male,53,Single woman/man,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Private business,2-4 persons,5 years - 10 years,36,Daily,100,Yes,5000,,1,1,Rural,Winter Season,1,0,0,0,0.5,100,4.6051702,5,5.5,30.25
67,10071101,1007,11,1,Male,56,Married,Nepalese,,Nursery/LKG/UKG,,No,G,Mixed crop and animal producers,Employee,Temporary,A,Mixed farming ,,Private business,2-4 persons,Less than 6 months,24,Daily,100,Yes,,,4,1,Rural,Rainy Season,1,0,0,0,0.5,100,4.6051702,0,0.5,0.25
68,12060202,1206,2,2,Female,61,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,2-4 persons,10 years or more,28,Daily,100,No,,,2,2,Urban,Rainy Season,0,0,1,0,0.5,100,4.6051702,10,10.5,110.25
69,12320705,1232,7,5,Female,48,Single woman/man,Nepalese,,Nursery/LKG/UKG,,Yes,J,Crop farm labourers,Employee,Temporary,A,Growing of rice,,Private business,2-4 persons,10 years or more,42,Daily,100,No,,,5,2,Rural,Rainy Season,0,0,0,0,0.5,100,4.6051702,10,10.5,110.25
70,12302002,1230,20,2,Female,64,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Support activities for crop production,,Don?t know,2-4 persons,Less than 6 months,30,Daily,100,No,,,13,2,Urban,Rainy Season,0,0,1,0,0.5,100,4.6051702,0,0.5,0.25
71,10071102,1007,11,2,Female,58,Married,Nepalese,,Nursery/LKG/UKG,,No,G,Field crop and vegetable growers,Employee,Temporary,A," Growing of cereals (except rice), leguminous crops and oil ",,Private business,2-4 persons,Less than 6 months,30,Daily,100,Yes,,,4,1,Rural,Rainy Season,0,0,0,0,0.5,100,4.6051702,0,0.5,0.25
72,10380301,1038,3,1,Female,44,Married,Nepalese,,Nursery/LKG/UKG,,No,J,Crop farm labourers,Employee,Temporary,A,Gathering of non-wood forest products,,Private business,2-4 persons,10 years or more,48,Daily,100,No,,,2,1,Rural,Rainy Season,0,0,0,0,0.5,100,4.6051702,10,10.5,110.25
73,15361501,1536,15,1,Male,59,Single woman/man,Nepalese,,Class 7,,Yes,D,Power production plant operators,Employee,Temporary,D," Electric power generation, transmission and distribution",Private financial institution,Private business,5-9 persons,Less than 6 months,28,Monthly,3150,No,23000,,5,5,Rural,Winter Season,1,0,0,7,7.5,103.56165,4.6401672,0,0.5,0.25
74,16850301,1685,3,1,Male,71,Married,Nepalese,,Nursery/LKG/UKG,,No,F,Protective services workers not elsewhere classified,Employee,Temporary,A,Silviculture and other forestr y activities,Other,An incorporated company,,3 years - 5 years,70,Monthly,3200,No,,,2,6,Rural,Winter Season,1,0,0,0,0.5,105.20548,4.6559153,3,3.5,12.25
75,10681102,1068,11,2,Female,25,Married,Nepalese,No,SLC and equiv.,,Yes,C,Early childhood educators,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,Less than 6 months,34,Monthly,3500,No,16800,,4,1,Rural,Winter Season,0,0,0,11,11.5,115.0685,4.7455277,0,0.5,0.25
76,13180501,1318,5,1,Female,60,Separated,Nepalese,,Nursery/LKG/UKG,,No,J,Domestic cleaners and helpers,Employee,Temporary,,,,,,5 years - 10 years,25,Monthly,3500,No,,,2,3,Urban,Rainy Season,0,0,1,0,0.5,115.0685,4.7455277,5,5.5,30.25
77,16431903,1643,19,3,Female,15,Never married,Nepalese,No,Nursery/LKG/UKG,,No,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,I,Restaurants and mobile food service activities,,Don?t know,2-4 persons,Less than 6 months,36,Monthly,3500,No,32000,,6,5,Rural,Dry Season,0,1,0,0,0.5,115.0685,4.7455277,0,0.5,0.25
78,12171302,1217,13,2,Female,38,Single woman/man,Nepalese,No,SLC and equiv.,Education science & teacher training for work in adult education,Yes,C,Early childhood educators,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,Less than 6 months,12,Monthly,3500,No,,,8,2,Urban,Winter Season,0,0,1,11,11.5,115.0685,4.7455277,0,0.5,0.25
79,12580302,1258,3,2,Male,35,Never married,Nepalese,No,Class 3,,Yes,J," Cleaners and helpers in offices, hotels and other establish",Employee,Temporary,I,Restaurants and mobile food service activities,Private financial institution,Private business,5-9 persons,5 years - 10 years,48,Monthly,3500,No,45000,,2,3,Rural,Rainy Season,1,1,0,3,3.5,115.0685,4.7455277,5,5.5,30.25
80,11171402,1117,14,2,Female,15,Never married,Nepalese,No,Class 8,,Yes,F,Shop keepers,Employee,Temporary,G,Retail sale via stalls and markets of other goods,Private financial institution,Private business,2-4 persons,Less than 6 months,70,Monthly,3500,No,2000,,5,1,Rural,Winter Season,0,1,0,8,8.5,115.0685,4.7455277,0,0.5,0.25
81,12241503,1224,15,3,Female,24,Never married,Nepalese,Yes,SLC and equiv.,,Yes,C,Primary school teachers,Employee,Temporary,P,Pre-primary and primary education,Private nonfinancial institution,An incorporated company,,6 months - 1 year,48,Monthly,3500,No,,,6,2,Urban,Winter Season,0,1,1,11,11.5,115.0685,4.7455277,0.5,1,1
82,13871102,1387,11,2,Female,40,Married,Nepalese,No,Class 3,"Dressmaking, tailoring",No,H," Tailors, dressmakers, furriers and hatters",Employee,Temporary,C," Manufacture of wearing apparel, except fur apparel",Non-profit institution,Private business,2-4 persons,10 years or more,35,Monthly,3500,No,,,4,3,Urban,Winter Season,0,0,1,3,3.5,115.0685,4.7455277,10,10.5,110.25
